year,avg_temp_c,rain_mm,max_temp_c,max_temp_c_1
2000,18.28,0.76,23.0,12.11
2000,23.94,27.94,30.72,17.78
2000,15.83,1.78,21.72,10.72
2000,10.0,0.51,15.0,6.61
2000,22.28,0.0,30.39,15.61
2000,17.11,3.05,22.11,13.22
2000,13.06,5.33,18.61,9.39
2000,14.83,13.97,19.22,12.28
2000,12.33,0.51,18.78,8.0
2000,12.22,0.25,14.0,9.72
2000,17.17,1.02,23.11,12.28
2000,11.0,36.07,12.22,10.0
2000,20.11,7.11,29.22,16.39
2000,4.83,4.06,10.72,1.0
2000,11.72,3.05,16.0,8.78
2000,9.94,1.02,13.28,6.39
2000,0.39,0.0,1.28,-0.89
2000,11.56,2.79,18.11,7.0
2000,14.56,0.0,20.0,10.0
2000,25.5,0.25,33.22,18.72
2000,17.56,16.0,22.72,15.28
2000,6.5,7.11,8.5,4.28
2000,17.33,2.03,22.11,13.0
2000,16.72,0.0,21.22,12.0
2000,7.83,5.59,9.5,5.22
2001,13.17,0.76,14.22,12.0
2001,26.28,0.0,31.61,18.0
2001,16.0,3.05,18.0,13.0
2001,16.61,0.0,22.61,10.0
2001,17.5,3.56,22.78,10.28
2001,24.33,0.0,29.28,18.61
2001,14.17,0.76,17.28,10.22
2001,22.06,0.76,25.61,16.11
2001,19.11,0.76,21.39,15.61
2001,-11.72,0.0,-6.0,-17.61
2001,22.22,0.0,28.61,13.5
2001,26.44,0.0,32.11,19.89
2001,12.89,0.0,19.28,5.89
2001,18.89,0.0,24.5,12.78
2001,12.28,0.0,16.61,8.39
2001,20.44,0.0,25.72,13.78
2001,22.67,0.0,28.28,15.11
2001,16.22,0.0,23.0,8.11
2001,23.06,0.0,29.0,16.0
2001,11.22,1.27,17.22,5.72
2001,22.61,0.0,29.0,14.5
2001,25.28,0.0,30.78,18.39
2001,11.78,0.0,17.61,5.89
2001,-7.61,2.03,-4.0,-10.72
2001,20.83,0.0,26.28,14.0
2001,21.06,0.0,27.0,13.5
2001,17.89,0.76,25.28,13.0
2001,18.94,0.0,24.89,12.0
2001,24.44,0.0,30.0,19.22
2001,18.39,0.0,25.0,9.89
2001,19.11,0.0,24.78,14.28
2001,11.72,4.57,19.0,6.0
2001,22.11,0.0,26.72,17.11
2001,13.56,3.81,18.61,8.61
2001,15.83,4.32,17.22,14.39
2001,15.17,0.0,23.0,6.78
2001,20.44,1.02,25.0,17.0
2001,8.44,0.76,15.28,3.0
2001,8.89,0.0,14.0,5.22
2001,15.89,2.03,21.0,13.22
2001,15.67,0.0,21.72,8.28
2001,-1.39,0.0,1.22,-3.72
2001,8.56,0.25,12.0,5.0
2001,3.94,0.0,9.11,-1.0
2001,-4.78,0.25,-3.0,-9.39
2001,5.67,0.0,11.0,0.5
2001,21.67,0.51,26.78,14.61
2001,8.83,0.76,14.11,3.72
2001,23.06,0.76,29.28,18.89
2001,21.39,0.0,29.39,11.89
2001,16.28,0.0,23.11,9.78
2001,15.44,0.0,21.0,9.89
2001,16.44,0.0,22.11,10.72
2001,9.28,0.76,14.72,3.22
2001,12.11,0.0,18.78,6.5
2001,23.56,0.0,29.39,17.0
2001,18.72,0.0,25.0,13.78
2001,3.28,0.0,9.0,-0.78
2001,1.17,3.05,2.39,-0.5
2001,-4.39,0.0,0.0,-7.5
2001,4.61,0.76,10.0,-1.11
2001,2.78,2.03,8.0,-0.61
2001,15.67,0.0,21.11,10.61
2001,16.0,,22.0,9.0
2001,22.72,0.0,29.0,16.0
2001,4.22,0.0,10.39,-1.22
2001,2.72,0.0,4.22,1.61
2001,16.44,0.0,22.22,10.61
2001,19.56,0.0,25.39,13.72
2001,17.0,,21.5,12.78
2001,23.06,0.0,29.0,16.22
2001,-2.28,0.0,-1.0,-5.0
2001,12.0,0.0,19.0,3.78
2001,-0.78,,4.5,-5.61
2001,11.67,2.79,19.22,4.28
2001,23.67,0.0,29.39,16.39
2001,5.56,0.0,12.0,0.28
2001,15.44,0.0,21.78,10.61
2001,14.67,0.0,20.72,8.0
2001,-1.06,0.0,2.0,-3.28
2001,6.72,0.0,11.39,3.5
